nivel,grupo,personas_ocup_cultura_jefes,tam_hogar_promedio,insegalim_mod_sev_%,insegalim_sev_%
Nacional,Total,995264,3.064861182560607,9.858389331875763,4.3680872612693715
Por ámbito,rural,122877,3.5360238287067554,19.464179626781252,9.74389023169511
Por ámbito,urbano,872387,2.9984972265749033,8.505399553179952,3.610897457206492
