folioviv,foliohog,numren,ambito,sinco,factor_w,tam_hogar,dependientes,ingreso_pc_mensual,linea_pobreza,linea_pobreza_extrema,_bajo_lp,_bajo_lpei
0160338507,1,01,rural,2172,50,3,2,57800.666666666664,3342.21,1795.77,0.0,0.0
0160341206,1,01,rural,2172,52,3,2,13869.543333333333,3342.21,1795.77,0.0,0.0
0160344816,1,01,rural,2552,49,8,7,14544.28,3342.21,1795.77,0.0,0.0
0200355904,1,01,urbano,2625,366,1,0,87665.17,4660.52,2366.33,0.0,0.0
0200358206,1,01,urbano,8144,621,3,2,10681.316666666668,4660.52,2366.33,0.0,0.0
0200359203,1,01,urbano,8144,512,5,4,13109.173999999999,4660.52,2366.33,0.0,0.0
0200365504,1,01,urbano,2162,681,3,2,2024.9966666666667,4660.52,2366.33,1.0,1.0
0200372402,1,01,urbano,2271,657,3,2,37408.26666666667,4660.52,2366.33,0.0,0.0
0200380803,1,01,urbano,2552,499,5,4,21245.898,4660.52,2366.33,0.0,0.0
0200402706,1,01,urbano,7322,757,2,1,55865.335,4660.52,2366.33,0.0,0.0
0200407202,1,01,urbano,2271,694,4,3,18880.9275,4660.52,2366.33,0.0,0.0
0200411606,1,01,urbano,7401,635,3,2,25180.326666666664,4660.52,2366.33,0.0,0.0
0200413601,1,01,urbano,1322,719,2,1,62988.025,4660.52,2366.33,0.0,0.0
0200415005,1,01,urbano,2271,644,1,0,93122.96,4660.52,2366.33,0.0,0.0
0200418802,1,01,urbano,5212,697,2,1,99885.24,4660.52,2366.33,0.0,0.0
0200440702,1,01,urbano,2172,777,6,5,12530.438333333334,4660.52,2366.33,0.0,0.0
0200451203,1,01,urbano,4312,741,1,0,56497.25,4660.52,2366.33,0.0,0.0
0200501204,1,01,urbano,2271,671,3,2,73056.52,4660.52,2366.33,0.0,0.0
0200537202,1,01,urbano,2173,480,3,2,36181.316666666666,4660.52,2366.33,0.0,0.0
0200542605,1,01,urbano,7301,581,2,1,11926.22,4660.52,2366.33,0.0,0.0
0200561605,1,01,urbano,7322,577,6,5,15352.458333333334,4660.52,2366.33,0.0,0.0
0200575201,1,01,urbano,2712,801,4,3,48708.7875,4660.52,2366.33,0.0,0.0
0200589304,1,01,urbano,2271,831,2,1,183301.615,4660.52,2366.33,0.0,0.0
0200593703,1,01,urbano,2553,789,2,1,69725.4,4660.52,2366.33,0.0,0.0
0200609206,1,01,urbano,7342,623,4,3,25899.3175,4660.52,2366.33,0.0,0.0
0200617504,1,01,urbano,7999,558,5,4,14918.470000000001,4660.52,2366.33,0.0,0.0
0200618303,1,01,urbano,2271,719,4,3,66470.055,4660.52,2366.33,0.0,0.0
0200627904,1,01,urbano,2655,540,5,4,16749.082000000002,4660.52,2366.33,0.0,0.0
0200630201,1,01,urbano,2636,640,2,1,51246.505,4660.52,2366.33,0.0,0.0
0200650401,1,01,urbano,7322,646,2,1,57865.305,4660.52,2366.33,0.0,0.0
0200653602,1,01,urbano,2542,267,4,3,57528.6825,4660.52,2366.33,0.0,0.0
0200654803,1,01,urbano,7353,478,2,1,7463.11,4660.52,2366.33,0.0,0.0
0200656004,1,01,urbano,5212,685,5,4,15925.072,4660.52,2366.33,0.0,0.0
0200660501,1,01,urbano,5212,556,1,0,53258.4,4660.52,2366.33,0.0,0.0
0260706818,1,01,rural,2271,28,3,2,19885.24,3342.21,1795.77,0.0,0.0
0260713815,1,01,rural,5212,38,3,2,36418.02333333334,3342.21,1795.77,0.0,0.0
0260717412,1,01,rural,2173,33,1,0,78821.96,3342.21,1795.77,0.0,0.0
0260719716,1,01,rural,2551,41,2,1,51861.84,3342.21,1795.77,0.0,0.0
0260720919,1,01,rural,7401,36,3,2,24243.28,3342.21,1795.77,0.0,0.0
0260740201,1,01,rural,4312,33,4,3,17739.78,3342.21,1795.77,0.0,0.0
0260745816,1,01,rural,4312,28,3,2,30062.983333333334,3342.21,1795.77,0.0,0.0
0260752303,2,01,rural,2173,30,5,4,11504.346000000001,3342.21,1795.77,0.0,0.0
0260754020,1,01,rural,2173,34,2,1,57196.695,3342.21,1795.77,0.0,0.0
0260759823,1,01,rural,9713,19,1,0,35781.47,3342.21,1795.77,0.0,0.0
0260770508,1,01,rural,7611,43,5,4,9914.67,3342.21,1795.77,0.0,0.0
0260773818,1,01,rural,1422,22,4,3,21774.59,3342.21,1795.77,0.0,0.0
0260794411,1,01,rural,2271,26,1,0,41910.57,3342.21,1795.77,0.0,0.0
0260802714,1,01,rural,4312,28,1,0,229303.26,3342.21,1795.77,0.0,0.0
0300804717,1,01,urbano,2144,114,5,4,18973.764000000003,4660.52,2366.33,0.0,0.0
0300806510,1,01,urbano,2543,125,2,1,12105.97,4660.52,2366.33,0.0,0.0
0300812205,1,01,urbano,2152,105,1,0,30608.28,4660.52,2366.33,0.0,0.0
0300813713,1,01,urbano,2271,111,4,3,23674.54,4660.52,2366.33,0.0,0.0
0300816922,1,01,urbano,3222,91,3,2,15426.01,4660.52,2366.33,0.0,0.0
