folioviv,foliohog,numren,ambito,sinco,factor_w,_insegalim_modsev_proxy,_insegalim_severa_proxy
0301030205,1,01,urbano,3222,148,0,0
0301031201,1,01,urbano,7342,159,0,0
0301059502,1,01,urbano,2542,143,0,0
0301077206,1,01,urbano,5212,217,0,0
0301078903,1,01,urbano,3222,229,0,0
0301083904,1,01,urbano,4312,164,0,0
0301086404,1,01,urbano,2655,191,0,0
0301090802,1,01,urbano,2655,175,0,0
0301091906,1,01,urbano,2172,154,0,0
0301093404,1,01,urbano,3222,161,1,0
0301094601,1,01,urbano,2544,150,0,0
0301096006,1,01,urbano,2655,167,0,0
0301106203,1,01,urbano,5212,152,0,0
0301106206,1,01,urbano,3222,152,0,0
0301106206,2,01,urbano,3222,152,0,0
0301106206,4,01,urbano,3222,152,0,0
0301108402,1,01,urbano,2544,171,0,0
0301109605,1,01,urbano,2172,244,0,0
0301111806,1,01,urbano,5212,206,0,0
0361114922,1,01,rural,7313,26,0,0
0361118202,1,01,rural,5212,26,0,0
0361120512,1,01,rural,7353,23,0,0
0361132919,1,01,rural,2161,27,0,0
0361134206,1,01,rural,1721,39,0,0
0361134718,1,01,rural,7342,39,0,0
0361155924,1,01,rural,4312,31,0,0
0401161021,1,01,urbano,7313,141,0,0
0401161303,1,01,urbano,7332,141,0,0
0401164715,1,01,urbano,7332,129,0,0
0401175505,1,01,urbano,2162,129,0,0
0401183204,1,01,urbano,1422,130,0,0
0401191006,1,01,urbano,2712,120,0,0
0401206605,1,01,urbano,2625,120,0,0
0401217405,1,01,urbano,9713,126,0,0
0401250304,1,01,urbano,7323,136,0,0
0401257805,1,01,urbano,7201,115,0,0
0401263001,1,01,urbano,5212,127,0,0
0401264502,1,01,urbano,2712,110,0,0
0401295503,1,01,urbano,2271,140,0,0
0401320501,1,01,urbano,2173,133,0,0
0401323703,1,01,urbano,7332,99,1,0
0401324401,1,01,urbano,2551,98,0,0
0401376006,1,01,urbano,5212,75,0,0
0401392609,1,01,urbano,2271,133,0,0
0401396305,1,01,urbano,7321,123,0,0
0401400023,1,01,urbano,7332,117,0,0
0401400508,1,01,urbano,5212,117,0,0
0461407019,1,01,rural,7332,120,0,0
0461407405,1,01,rural,2271,120,0,0
0461407608,1,01,rural,7332,120,0,0
0461408301,1,01,rural,7332,148,1,1
0461408512,1,01,rural,7332,148,1,1
0461408919,1,01,rural,7332,148,1,0
0461408921,1,01,rural,7332,148,0,0
0461408922,1,01,rural,7332,148,0,0
0461408923,1,01,rural,7332,148,0,0
0461408924,1,01,rural,7332,148,0,0
0461413408,1,01,rural,7353,124,0,0
0461415409,1,01,rural,5212,115,0,0
0461429611,1,01,rural,7343,132,0,0
0501432802,1,01,urbano,7322,253,0,0
0501440506,1,01,urbano,2652,253,0,0
0501442901,1,01,urbano,2625,225,0,0
0501445602,1,01,urbano,4312,290,0,0
0501449502,1,01,urbano,2655,243,0,0
0501454704,1,01,urbano,8144,245,0,0
0501470814,1,01,urbano,2271,242,0,0
0501474404,1,01,urbano,2271,551,0,0
0501475006,1,01,urbano,7322,384,0,0
0501484305,1,01,urbano,2173,242,0,0
0501485906,1,01,urbano,2551,475,0,0
0501485906,1,01,urbano,2544,475,0,0
0501488301,1,01,urbano,2271,286,0,0
0501511706,1,01,urbano,2172,232,0,0
0501515001,1,01,urbano,7401,267,0,0
0501522203,1,01,urbano,2712,328,0,0
0501590201,1,01,urbano,2544,291,0,0
0501591502,1,01,urbano,2625,278,0,0
0501598004,1,01,urbano,2172,287,0,0
0501608302,1,01,urbano,2144,368,0,0
0501608305,1,01,urbano,2271,368,0,0
0501610506,1,01,urbano,2271,424,0,0
0501617702,1,01,urbano,5212,378,0,0
0501658303,1,01,urbano,2172,302,0,0
0501665901,1,01,urbano,2271,349,0,0
0501666803,1,01,urbano,2625,278,0,0
0501673605,1,01,urbano,2144,437,0,0
0501681903,1,01,urbano,2172,287,0,0
0501690304,1,01,urbano,2173,255,0,0
0501722405,1,01,urbano,2712,270,0,0
0501734005,1,01,urbano,2542,293,0,0
0501748805,1,01,urbano,2271,315,0,0
0501751302,1,01,urbano,2271,288,0,0
0501766801,1,01,urbano,2544,311,0,0
0501768805,1,01,urbano,1421,293,0,0
0501772704,1,01,urbano,7353,299,1,0
0501777401,1,01,urbano,5212,402,1,0
0501779604,1,01,urbano,7321,396,0,0
0501785202,1,01,urbano,7321,290,0,0
0501804704,1,01,urbano,2625,392,0,0
0501806606,1,01,urbano,2271,272,0,0
0501809805,1,01,urbano,2271,320,0,0
0501838003,1,01,urbano,4312,382,0,0
0501841305,1,01,urbano,2271,372,0,0
0501843701,1,01,urbano,1421,332,0,0
0501846508,1,01,urbano,9713,248,0,0
