nivel,grupo,personas_ocup_cultura_jefes,tam_hogar_promedio,dependientes_promedio,ingreso_pc_mensual_prom,bajo_lp_%,bajo_lpei_%
Nacional,Total,995264,3.064861182560607,2.064861182560607,38856.829863892024,2.096629637965404,0.3048437399524146
Por ámbito,rural,122877,3.5360238287067554,2.5360238287067554,15180.73294617434,6.0605320767922395,0.9245017375098675
Por ámbito,urbano,872387,2.9984972265749033,1.998497226574903,42191.64315312994,1.538308113257075,0.21756399396139556
